tweet_id,sentiment
1213084822521950209,Positive
1213011490372038656,Neutral
1213763702715043840,Negative
1213764224356421633,Positive
1212766574337150976,Positive
1201007355607040001,Neutral
1212723914494877698,Neutrak
1213183031638405123,Positive
1216001450964324354,Neutral
1201438784782503936,Neutral
1212232954430263297,Positive
1213727838341419009,Neutral
1201214643072581633,Neutral
1213300467004059653,Positive
1214248761905623041,Negative
1212382670245642241,Neutral
1204891010427424768,Mixed
1212992175773863941,Positive
1213072867866349568,Mixed
1213026752131457024,Negative
1212299954833821696,Positive
1213116081184890881,Positive
1212369380492886016,Positive
1213079961566879744,Neutral
1201064656355377153,Negative
1212857919575908352,Neutral
1212365635176546306,Neutral
1215377431525298178,Positive
1213091449564213248,Positive
1212574278434074624,Neutral
1212986014429581313,Neutral
1216185985572179968,Neutral
1222891318772260864,Positive
1215929256389292033,Neutral
1213723647703232512,Neutral
1213863586554138624,Mixed
1212743358420078593,Positive
1203870938426593281,Neutral
1201087073190629376,Neutral
1213067097401479168,Positive
1213164839989862400,Negative
1212828090239504388,Negative
1212877287709970439,Neutral
1201208064617127936,Mixed
1213820557386498049,Negative
1212191681631510528,Negative
1201064076371214337,Neutral
1215999481621176323,Positive
1214241412679700480,Mixed
1213171585974071296,Positive
1214157341031043078,Negative
1215963489442902016,Negative
1201411110806659072,Positive
1213841906813341697,Negative
1213849923738845184,Positive
1213121680299712513,Negative
1213759772182355970,Negative
1200958646718517248,Positive
1214699402625003521,Neutral
1213888380079104005,Neutral
1213292154291990528,Positive
1214110485546700800,Mixed
1201191296293056513,Negative
1212453172230311936,Positive
1214167326477766668,Positive
1212845460987269128,Neutral
1222899659611328517,Positive
1212384275926048770,Neutral
1212251269940809728,Neutral
1214057692676968448,Neutral
1214227822601895936,Negative
1212905806385098752,Neutral
1212302537153495040,Neutral
1213815560343080960,Mixed
1214694689137479681,Negative
1201230170918735872,Positive
1212266419817271296,Negative
1213220205909991424,Neutral
1201217432255451137,Negative
1201142926253932544,Neutral
1201524133898719235,Positive
1212274050250133504,Positive
1213107495033552896,Positive
1212436888470130688,Negative
1216291898312339456,Positive
1212229972154302464,Positive
1201392602815307776,Neutral
1212373400095735808,Mixed
1214163541957197825,Mixed
1212410573935259649,Neutral
1212348984955752448,Positive
1212255505449664512,Neutral
1213849910468063237,Negative
1217526635529940992,Neutral
1213756916297555969,Negative
1216280877342384131,Mixed
1213136728204165120,Mixed
1201059124047482880,Neutral
1205276673576493056,Neutral
1213161897920516102,Negative
1222958323017732097,Negative
1210196488137183233,Positive
1214756605671231488,Positive
1201430126610853888,Neutral
1212300398020702209,Negative
1212455230442524672,Neutral
1216271392599048192,Negative
1213995983253757953,Neutral
1213843515962200064,Neutral
1212412992807211009,Negative
1214210801277513730,Positive
1212393598039265280,Neutral
1212258782908207106,Neutral
1217530354996670464,Positive
1213122233499029506,Negative
1213176337353056257,Mixed
1212980002087751681,Positive
1212728990672334848,Positive
1201235152124436480,Positive
1212270879926882305,Neutral
1201521729010581509,Positive
1212354737514958848,Neutral
1212788170783428609,Neutral
1213094450471325696,Neutral
1216280749512581121,Negative
1212389820540043270,Neutral
1212298713193992192,Negative
1213092410286333952,Neutral
1213819392275951616,Neutral
1212996267716042752,Negative
1212442121250037761,Mixed
1204101581341429760,Positive
1201457937291587584,Neutral
1201495098099322880,Neutral
1213191065613881351,Neutral
1213031469515341826,Negative
1214863027734007809,Neutral
1213300816246915073,Neutral
1222905708703817728,Neutral
1214830926452142081,Neutral
1214128086696038401,Positive
1212598280162545664,Neutral
1217404700263358464,Neutral
1212812609138962434,Negative
1200931821111910400,Positive
1214838695360188421,Mixed
1212732729672044544,Positive
1213908125054623745,Positive
1214809286171385856,Positive
1214139324519866369,Negative
1216743601339863040,Neutral
1214239077706477568,Neutral
1212922574994313216,Positive
1212380165998858240,Positive
1216268365456728064,Negative
1217331359082897408,Neutral
1201506014106988544,Mixed
1216491616237707264,Positive
1203856159708499968,Positive
1213138750697541632,Negative
1201367895512666118,Negative
1216055770841829377,Negative
1215947667509071873,Neutral
1212280385951809536,Positive
1213741909988052992,Neutral
1213034404546826240,Positive
1202329730537705472,Positive
1212201243214536704,Neutral
1212164113943683072,Negative
1212357595102621696,Neutral
1201109256302473216,Positive
1201248964869267456,Negative
1212297795438297088,Positive
1200938943509880832,Negative
1201134048934019072,Negative
1212496969874190337,Positive
1201520220021624833,Positive
1212532108226367488,Negative
1214688255242883073,Negative
1217475842252537858,Negative
1212712933647626241,Positive
1214982104095834112,Neutral
1212162392848764928,Mixed
1212821367806148608,Positive
1212233235322884097,Positive
1214942284808179712,Positive
1212203103774289926,Neutral
1216019395073511425,Positive
1214162995292626944,Neutral
1214189045384957952,Mixed
1212823721112723467,Mixed
1213726712661512192,Negative
1213892160392761344,Negative
1213926197995941889,Positive
1214756582053036034,Positive
1216371742148399105,Positive
1214030273295323138,Positive
1213198250506801152,Positive
1214163766448971776,Neutral
1212986114673381377,Negative
1213757372386205698,Neutral
1208136640432136192,Neutral
1212994497384210438,Neutral
1212719959215943680,Positive
1212749534826303488,Neutral
1213745722249678848,Neutral
1212771248222228480,Positive
1214177772207247363,Positive
1214030932765745153,Positive
1212461248803201026,Positive
1213126250946027520,Positive
1213172566946271232,Positive
